crop,soil_type,temperature,humidity,rainfall,risk_index,fertilizer
Peach,Sandy,27.5,34.5,0.0,0.0,Balanced NPK
Peach,Sandy,23.625,39.583333333333336,0.0,0.0,Balanced NPK
Potato,Loam,24.0,76.5,15.1,1.0,Balanced NPK
Bell Pepper,Sandy,24.20833333333333,69.75,0.6,0.0,Balanced NPK
Cherry,Sandy,24.625,76.0,0.7,0.0,High Potassium
Strawberry,Loam,22.166666666666668,80.20833333333333,0.0,0.0,Balanced NPK
Cherry,Loam,17.208333333333332,94.29166666666669,9.6,1.0,Balanced NPK
Potato,Sandy,20.375,52.91666666666666,0.0,0.0,High Potassium
Strawberry,Sandy,23.45833333333333,68.91666666666667,0.0,0.0,High Potassium
Grape,Loam,21.45833333333333,86.83333333333333,0.0,0.0,Balanced NPK
Tomato,Sandy,24.58333333333333,71.25,0.1,0.0,High Potassium
Potato,Sandy,22.125,74.375,0.3,1.0,Organic Compost
Bell Pepper,Sandy,24.0,49.0,0.0,0.0,Balanced NPK
Apple,Sandy,20.791666666666668,54.91666666666666,0.0,0.0,Balanced NPK
Corn (Maize),Loam,23.08333333333333,79.58333333333333,8.0,1.0,Balanced NPK
Tomato,Loam,19.45833333333333,74.5,0.0,0.0,High Potassium
Cherry,Sandy,21.375,63.66666666666666,0.0,1.0,Organic Compost
Strawberry,Sandy,29.041666666666668,51.75,3.3,0.0,Balanced NPK
Bell Pepper,Loam,23.08333333333333,83.375,5.5,1.0,Balanced NPK
Peach,Sandy,22.125,47.708333333333336,0.0,0.0,Balanced NPK
Cherry,Sandy,27.25,54.54166666666666,1.0,0.0,High Potassium
Corn (Maize),Sandy,26.291666666666668,59.54166666666666,0.0,0.0,Balanced NPK
Cherry,Loam,24.0,74.5,4.3,1.0,Balanced NPK
Grape,Sandy,18.791666666666668,58.5,0.0,0.0,High Potassium
Corn (Maize),Loam,20.916666666666668,89.83333333333333,1.6,0.0,Balanced NPK
Corn (Maize),Sandy,22.58333333333333,65.70833333333333,0.0,0.0,Balanced NPK
Peach,Loam,23.08333333333333,81.70833333333333,3.5,1.0,Balanced NPK
Strawberry,Sandy,23.33333333333333,74.0,1.0,0.0,High Potassium
Potato,Sandy,20.75,69.79166666666667,0.0,0.0,High Potassium
Tomato,Loam,23.875,75.41666666666667,8.1,1.0,Balanced NPK
Corn (Maize),Sandy,24.5,36.41666666666666,0.0,0.0,Balanced NPK
Corn (Maize),Loam,20.375,94.16666666666669,9.6,1.0,Balanced NPK
Strawberry,Loam,20.20833333333333,84.91666666666667,2.1,1.0,Balanced NPK
Strawberry,Loam,23.20833333333333,76.66666666666667,5.9,1.0,Balanced NPK
Potato,Sandy,27.0,32.25,0.0,0.0,High Potassium
Tomato,Sandy,25.625,31.041666666666668,0.0,0.0,High Potassium
Corn (Maize),Sandy,24.70833333333333,54.625,0.1,0.0,Balanced NPK
Tomato,Sandy,28.5,51.875,0.5,0.0,High Potassium
Peach,Sandy,24.375,50.54166666666666,0.0,1.0,Organic Compost
Corn (Maize),Sandy,23.45833333333333,67.25,0.9,0.0,Balanced NPK
Tomato,Loam,23.916666666666668,76.70833333333333,3.7,1.0,Balanced NPK
Cherry,Loam,20.541666666666668,89.95833333333333,1.2,0.0,Balanced NPK
Apple,Sandy,22.375,46.54166666666666,0.0,0.0,Balanced NPK
Apple,Sandy,25.33333333333333,53.25,0.0,0.0,Balanced NPK
Strawberry,Loam,22.0,93.625,6.3,1.0,Balanced NPK
Strawberry,Sandy,25.291666666666668,46.833333333333336,0.7000000000000001,0.0,High Potassium
Grape,Loam,21.25,82.45833333333333,2.1,1.0,Balanced NPK
Bell Pepper,Sandy,23.95833333333333,69.83333333333333,0.2,0.0,Balanced NPK
Strawberry,Sandy,27.416666666666668,29.416666666666668,0.0,0.0,High Potassium
Grape,Sandy,26.95833333333333,55.25,0.0,0.0,High Potassium
Corn (Maize),Sandy,23.875,65.75,0.0,0.0,Balanced NPK
Tomato,Loam,23.416666666666668,79.70833333333333,4.3,1.0,Balanced NPK
Cherry,Loam,21.625,83.45833333333333,3.5,1.0,Balanced NPK
Grape,Sandy,24.625,70.16666666666667,0.8,1.0,Organic Compost
Bell Pepper,Sandy,26.916666666666668,49.833333333333336,0.4,1.0,Organic Compost
Tomato,Loam,20.08333333333333,83.625,1.0,0.0,High Potassium
Tomato,Sandy,27.20833333333333,63.208333333333336,1.7,0.0,High Potassium
Tomato,Sandy,25.125,47.54166666666666,0.0,0.0,High Potassium
Grape,Loam,24.416666666666668,75.95833333333333,4.0,1.0,Balanced NPK
Apple,Loam,23.0,80.29166666666667,0.4,0.0,Balanced NPK
Peach,Sandy,20.416666666666668,65.83333333333333,0.0,0.0,Balanced NPK
Strawberry,Loam,21.541666666666668,81.45833333333333,0.0,0.0,Balanced NPK
Potato,Loam,19.916666666666668,78.20833333333333,0.0,0.0,Balanced NPK
Bell Pepper,Sandy,28.25,56.708333333333336,0.6000000000000001,0.0,Balanced NPK
Bell Pepper,Sandy,20.58333333333333,56.29166666666666,0.0,0.0,Balanced NPK
Peach,Sandy,21.0,47.5,0.0,0.0,Balanced NPK
Corn (Maize),Sandy,22.125,44.66666666666666,0.0,0.0,Balanced NPK
Corn (Maize),Sandy,23.291666666666668,70.83333333333333,0.0,0.0,Balanced NPK
Corn (Maize),Sandy,26.666666666666668,67.54166666666667,0.0,0.0,Balanced NPK
Corn (Maize),Sandy,23.166666666666668,65.70833333333333,0.0,0.0,Balanced NPK
Strawberry,Loam,20.75,78.95833333333333,0.3,0.0,Balanced NPK
Potato,Sandy,20.916666666666668,60.04166666666666,0.0,0.0,High Potassium
Tomato,Loam,22.83333333333333,86.33333333333333,4.3,1.0,Balanced NPK
Potato,Sandy,27.916666666666668,62.75,2.1,0.0,High Potassium
Cherry,Sandy,22.95833333333333,42.79166666666666,0.0,0.0,High Potassium
Bell Pepper,Sandy,23.375,53.625,0.0,0.0,Balanced NPK
Grape,Sandy,23.33333333333333,78.41666666666667,0.6000000000000001,0.0,High Potassium
Cherry,Loam,23.0,80.04166666666667,2.4,1.0,Balanced NPK
Potato,Sandy,29.25,39.083333333333336,0.0,0.0,High Potassium
Potato,Sandy,24.0,58.41666666666666,0.0,0.0,High Potassium
Potato,Loam,22.791666666666668,80.54166666666667,0.0,0.0,Balanced NPK
Peach,Sandy,23.125,41.875,0.0,0.0,Balanced NPK
Apple,Sandy,26.58333333333333,47.5,0.0,0.0,Balanced NPK
Corn (Maize),Sandy,29.75,45.625,0.1,0.0,Balanced NPK
Bell Pepper,Clay,24.70833333333333,72.41666666666667,21.0,1.0,Balanced NPK
Corn (Maize),Loam,20.95833333333333,81.0,0.2,0.0,Balanced NPK
Tomato,Sandy,26.20833333333333,68.04166666666667,4.5,0.0,Balanced NPK
Apple,Sandy,27.166666666666668,62.66666666666666,4.2,0.0,Balanced NPK
Potato,Sandy,19.541666666666668,60.75,0.0,0.0,High Potassium
Grape,Loam,21.70833333333333,89.375,5.6,1.0,Balanced NPK
Apple,Sandy,19.875,66.29166666666667,0.0,0.0,Balanced NPK
Cherry,Sandy,25.0,51.5,0.9,0.0,High Potassium
Peach,Sandy,19.25,54.458333333333336,0.0,0.0,Balanced NPK
Cherry,Sandy,23.95833333333333,73.125,0.0,0.0,High Potassium
Apple,Loam,24.08333333333333,75.375,5.5,1.0,Balanced NPK
Peach,Sandy,26.75,54.625,0.0,0.0,Balanced NPK
Apple,Sandy,30.33333333333333,43.208333333333336,0.0,0.0,Balanced NPK
Tomato,Sandy,26.291666666666668,61.083333333333336,0.0,0.0,High Potassium
Bell Pepper,Sandy,22.041666666666668,75.66666666666667,0.0,0.0,Balanced NPK
Peach,Sandy,22.83333333333333,76.91666666666667,0.0,0.0,Balanced NPK
Potato,Sandy,23.70833333333333,71.625,0.2,0.0,High Potassium
Strawberry,Sandy,24.416666666666668,54.625,0.0,0.0,High Potassium
Potato,Sandy,23.08333333333333,52.29166666666666,0.0,0.0,High Potassium
Cherry,Sandy,28.875,46.79166666666666,0.6000000000000001,0.0,High Potassium
Bell Pepper,Sandy,28.45833333333333,53.083333333333336,0.6000000000000001,0.0,Balanced NPK
Peach,Sandy,26.20833333333333,68.04166666666667,4.5,0.0,Balanced NPK
Apple,Sandy,20.625,47.41666666666666,0.0,0.0,Balanced NPK
Grape,Sandy,20.666666666666668,67.08333333333333,0.0,0.0,High Potassium
Apple,Sandy,24.666666666666668,69.33333333333333,0.1,0.0,Balanced NPK
Apple,Sandy,27.375,26.33333333333333,0.0,0.0,Balanced NPK
Apple,Loam,23.166666666666668,84.33333333333333,10.1,1.0,Balanced NPK
Potato,Sandy,22.08333333333333,71.0,0.0,0.0,High Potassium
Cherry,Sandy,24.416666666666668,66.625,0.1,0.0,High Potassium
Potato,Sandy,24.375,70.79166666666667,0.0,0.0,High Potassium
Tomato,Sandy,24.0,40.708333333333336,0.0,0.0,High Potassium
Bell Pepper,Sandy,19.666666666666668,60.25,0.0,0.0,Balanced NPK
Strawberry,Loam,21.70833333333333,90.08333333333331,4.8,1.0,Balanced NPK
Potato,Sandy,27.95833333333333,60.04166666666666,3.0,0.0,Balanced NPK
Corn (Maize),Sandy,20.83333333333333,74.08333333333333,0.5,0.0,Balanced NPK
Grape,Sandy,29.625,42.0,0.0,0.0,High Potassium
Apple,Sandy,23.70833333333333,72.91666666666667,0.8,0.0,Balanced NPK
Corn (Maize),Sandy,21.75,57.708333333333336,0.0,0.0,Balanced NPK
Cherry,Sandy,23.166666666666668,52.54166666666666,0.0,0.0,High Potassium
Corn (Maize),Loam,21.916666666666668,81.70833333333333,3.7,1.0,Balanced NPK
Grape,Sandy,23.25,63.79166666666666,0.0,0.0,High Potassium
Grape,Sandy,26.916666666666668,49.833333333333336,0.4,1.0,Organic Compost
Bell Pepper,Sandy,24.0,70.66666666666667,0.4,0.0,Balanced NPK
Apple,Sandy,25.25,63.25,3.0,0.0,Balanced NPK
Corn (Maize),Sandy,20.875,62.625,0.0,0.0,Balanced NPK
Cherry,Loam,19.5,81.70833333333333,0.0,0.0,Balanced NPK
Cherry,Loam,22.625,80.125,0.6,0.0,Balanced NPK
Tomato,Sandy,21.416666666666668,59.458333333333336,0.0,1.0,Organic Compost
Potato,Sandy,30.45833333333333,26.70833333333333,0.0,0.0,High Potassium
Tomato,Sandy,20.83333333333333,57.25,0.0,0.0,High Potassium
Grape,Sandy,20.5,69.875,0.0,0.0,High Potassium
Apple,Sandy,23.541666666666668,70.45833333333333,0.0,0.0,Balanced NPK
Peach,Loam,23.875,76.20833333333333,2.8,1.0,Balanced NPK
Cherry,Loam,21.916666666666668,85.5,1.5,0.0,Balanced NPK
Tomato,Loam,23.541666666666668,80.79166666666667,6.8,1.0,Balanced NPK
Potato,Sandy,21.375,74.45833333333333,0.0,0.0,High Potassium
Tomato,Sandy,24.541666666666668,69.58333333333333,2.0,0.0,High Potassium
Peach,Loam,22.08333333333333,81.625,0.1,0.0,Balanced NPK
Bell Pepper,Sandy,29.33333333333333,41.66666666666666,0.1,0.0,Balanced NPK
Tomato,Loam,20.541666666666668,90.45833333333331,3.1,1.0,Balanced NPK
Peach,Sandy,25.75,71.5,3.8,1.0,Organic Compost
Apple,Loam,20.625,96.5,3.2,1.0,Balanced NPK
Peach,Sandy,24.541666666666668,69.58333333333333,2.0,0.0,Balanced NPK
Strawberry,Sandy,24.95833333333333,48.583333333333336,0.0,0.0,High Potassium
Potato,Sandy,29.0,41.125,0.1,0.0,High Potassium
Potato,Sandy,24.20833333333333,68.625,0.0,0.0,High Potassium
Apple,Sandy,30.25,37.083333333333336,0.1,0.0,Balanced NPK
Tomato,Sandy,21.541666666666668,57.708333333333336,0.0,0.0,High Potassium
Peach,Sandy,19.166666666666668,57.458333333333336,0.0,0.0,Balanced NPK
Apple,Loam,22.33333333333333,78.5,0.4,0.0,Balanced NPK
Potato,Loam,23.70833333333333,80.45833333333333,11.8,1.0,Balanced NPK
Strawberry,Sandy,28.916666666666668,50.208333333333336,0.3,0.0,High Potassium
Corn (Maize),Sandy,22.541666666666668,68.91666666666667,1.9,0.0,Balanced NPK
Bell Pepper,Sandy,21.375,45.54166666666666,0.0,0.0,Balanced NPK
Bell Pepper,Sandy,24.45833333333333,63.25,0.0,0.0,Balanced NPK
Cherry,Sandy,21.0,47.5,0.0,0.0,High Potassium
Potato,Sandy,22.875,76.25,0.9,0.0,High Potassium
Cherry,Sandy,20.75,75.66666666666667,0.0,0.0,High Potassium
Potato,Sandy,22.5,74.625,0.5,0.0,High Potassium
Potato,Sandy,23.5,76.625,0.6,0.0,High Potassium
Cherry,Sandy,20.20833333333333,61.625,0.0,0.0,High Potassium
Strawberry,Loam,22.5,81.20833333333333,6.6,1.0,Balanced NPK
Strawberry,Sandy,29.33333333333333,47.833333333333336,0.2,0.0,High Potassium
Corn (Maize),Sandy,22.33333333333333,56.41666666666666,0.0,0.0,Balanced NPK
Grape,Sandy,18.25,62.583333333333336,0.0,0.0,High Potassium
Apple,Sandy,21.95833333333333,60.625,0.0,0.0,Balanced NPK
Peach,Sandy,28.041666666666668,64.75,0.0,0.0,Balanced NPK
Apple,Sandy,27.875,40.125,0.0,0.0,Balanced NPK
Grape,Sandy,21.5,58.375,0.0,0.0,High Potassium
Tomato,Sandy,24.125,70.08333333333333,1.4,0.0,High Potassium
Cherry,Sandy,23.45833333333333,72.875,0.0,0.0,High Potassium
Grape,Sandy,24.33333333333333,54.458333333333336,0.0,0.0,High Potassium
Grape,Sandy,25.75,66.08333333333333,4.3,0.0,Balanced NPK
Strawberry,Sandy,19.33333333333333,65.04166666666667,0.0,0.0,High Potassium
Apple,Sandy,30.166666666666668,46.583333333333336,0.6,0.0,Balanced NPK
Strawberry,Sandy,27.666666666666668,51.958333333333336,0.0,0.0,High Potassium
Corn (Maize),Sandy,26.58333333333333,47.375,0.0,0.0,Balanced NPK
Grape,Loam,19.125,81.08333333333333,0.0,0.0,Balanced NPK
Apple,Sandy,20.83333333333333,42.66666666666666,0.0,0.0,Balanced NPK
Cherry,Sandy,22.875,72.375,0.3,0.0,High Potassium
Potato,Sandy,30.166666666666668,46.583333333333336,0.6,0.0,High Potassium
Apple,Sandy,31.291666666666668,40.125,0.0,0.0,Balanced NPK
Grape,Sandy,20.791666666666668,66.66666666666667,0.0,0.0,High Potassium
Potato,Loam,25.33333333333333,71.41666666666667,9.1,1.0,Balanced NPK
Tomato,Sandy,32.291666666666664,20.666666666666668,0.0,0.0,High Potassium
Bell Pepper,Sandy,20.70833333333333,65.29166666666667,0.0,0.0,Balanced NPK
Tomato,Sandy,20.916666666666668,52.25,0.0,0.0,High Potassium
Tomato,Loam,22.666666666666668,82.45833333333333,0.3,0.0,High Potassium
Peach,Sandy,27.0,44.875,0.0,0.0,Balanced NPK
Strawberry,Sandy,26.25,37.54166666666666,0.0,0.0,High Potassium
Corn (Maize),Loam,24.58333333333333,78.20833333333333,1.9,0.0,Balanced NPK
Corn (Maize),Sandy,25.625,52.75,0.0,0.0,Balanced NPK
Potato,Sandy,18.916666666666668,35.083333333333336,0.0,0.0,High Nitrogen
Bell Pepper,Sandy,24.375,67.33333333333333,0.2,0.0,Balanced NPK
Cherry,Sandy,23.45833333333333,64.625,0.1,0.0,High Potassium
Strawberry,Sandy,24.33333333333333,37.083333333333336,0.0,0.0,High Potassium
Bell Pepper,Sandy,19.916666666666668,38.66666666666666,0.0,0.0,High Nitrogen
Potato,Sandy,24.666666666666668,70.41666666666667,3.4000000000000004,1.0,Organic Compost
Grape,Sandy,22.08333333333333,68.5,0.0,0.0,High Potassium
Bell Pepper,Sandy,28.33333333333333,31.416666666666668,0.0,0.0,Balanced NPK
Peach,Sandy,24.25,64.95833333333333,0.0,0.0,Balanced NPK
Bell Pepper,Sandy,25.291666666666668,51.708333333333336,0.0,0.0,Balanced NPK
Tomato,Sandy,26.291666666666668,64.125,1.0,0.0,High Potassium
Peach,Sandy,22.041666666666668,68.375,0.0,0.0,Balanced NPK
Tomato,Sandy,27.20833333333333,60.875,0.2,0.0,High Potassium
Peach,Sandy,24.875,69.20833333333333,0.0,0.0,Balanced NPK
Tomato,Sandy,23.45833333333333,68.70833333333333,0.9,0.0,High Potassium
Bell Pepper,Loam,23.125,78.83333333333333,4.8,1.0,Balanced NPK
Bell Pepper,Sandy,27.875,54.333333333333336,0.2,1.0,Organic Compost
Strawberry,Loam,21.416666666666668,87.375,6.7,1.0,Balanced NPK
Bell Pepper,Loam,22.08333333333333,76.58333333333333,2.2,1.0,Balanced NPK
Peach,Loam,21.75,87.66666666666667,0.3,0.0,Balanced NPK
