temperature,humidity,rainfall,pressure,soil_moisture,wind_speed,soil_type
27,27.0,0.0,1013.0,0.07100000000000001,7.0,Sandy
26,61.0,0.0,1008.0,0.178,9.0,Sandy
28,55.0,0.0,1010.0,0.15,8.0,Sandy
20,93.0,0.0,1009.0,0.30400000000000005,13.0,Loam
34,39.0,0.0,1005.0,0.072,6.0,Sandy
28,22.0,0.0,1016.0,0.051000000000000004,16.0,Sandy
25,65.0,0.0,1005.0,0.195,24.0,Sandy
20,71.0,0.0,1015.0,0.238,14.0,Sandy
29,49.0,0.0,1007.0,0.127,29.0,Sandy
23,87.0,0.0,1008.0,0.271,10.0,Loam
25,71.0,0.0,1008.0,0.213,12.0,Sandy
29,36.0,0.0,1011.0,0.088,6.0,Sandy
15,94.0,0.0,1016.0,0.33199999999999996,12.0,Loam
21,91.0,0.0,1008.0,0.29300000000000004,17.0,Loam
21,79.0,0.0,1010.0,0.257,17.0,Loam
23,90.0,0.0,1009.0,0.28,19.0,Loam
21,89.0,0.0,1012.0,0.28700000000000003,14.0,Loam
24,38.0,0.0,1012.0,0.119,10.0,Sandy
30,45.0,0.0,1009.0,0.11000000000000001,17.0,Sandy
25,69.0,0.0,1008.0,0.207,10.0,Sandy
27,35.0,0.0,1013.0,0.095,17.0,Sandy
24,66.0,0.0,1009.0,0.203,21.0,Sandy
21,88.0,0.1,1009.0,0.28480000000000005,17.0,Loam
24,75.0,0.0,1007.0,0.22999999999999998,16.0,Sandy
24,85.0,1.1,1007.0,0.2688,12.0,Loam
28,28.0,0.0,1011.0,0.069,13.0,Sandy
31,21.0,0.0,1004.0,0.032999999999999995,14.0,Sandy
16,83.0,0.0,1015.0,0.294,8.0,Loam
22,92.0,0.0,1009.0,0.29100000000000004,9.0,Loam
24,78.0,0.0,1010.0,0.239,17.0,Sandy
28,52.0,0.0,1006.0,0.141,16.0,Sandy
23,64.0,0.0,1012.0,0.202,12.0,Sandy
20,79.0,0.0,1014.0,0.262,17.0,Loam
28,43.0,0.0,1011.0,0.114,12.0,Sandy
22,57.0,0.0,1015.0,0.186,7.0,Sandy
34,15.0,0.0,1008.0,0.0,3.0,Sandy
31,43.0,0.0,1010.0,0.099,7.0,Sandy
27,59.0,0.0,1011.0,0.16699999999999998,22.0,Sandy
23,86.0,0.0,1009.0,0.268,15.0,Loam
20,97.0,0.0,1013.0,0.316,10.0,Loam
22,89.0,0.0,1015.0,0.28200000000000003,7.0,Loam
21,66.0,0.0,1015.0,0.218,15.0,Sandy
16,96.0,0.0,1011.0,0.33299999999999996,9.0,Loam
21,82.0,0.0,1010.0,0.26599999999999996,24.0,Loam
20,94.0,0.0,1013.0,0.307,10.0,Loam
27,53.0,0.0,1013.0,0.149,15.0,Sandy
27,62.0,2.1,1005.0,0.1928,15.0,Sandy
28,51.0,0.0,1009.0,0.13799999999999998,13.0,Sandy
22,77.0,0.0,1009.0,0.246,19.0,Sandy
28,46.0,0.0,1010.0,0.12300000000000001,12.0,Sandy
21,82.0,0.0,1010.0,0.26599999999999996,25.0,Loam
27,56.0,0.0,1005.0,0.158,27.0,Sandy
12,96.0,0.0,1013.0,0.353,6.0,Loam
30,29.0,0.0,1006.0,0.06199999999999999,13.0,Sandy
25,67.0,0.2,1009.0,0.2026,25.0,Sandy
28,57.0,0.1,1011.0,0.15679999999999997,12.0,Sandy
26,57.0,0.0,1009.0,0.16599999999999998,4.0,Sandy
19,96.0,0.1,1014.0,0.31880000000000003,13.0,Loam
21,85.0,0.0,1010.0,0.275,17.0,Loam
35,13.0,0.0,1007.0,0.0,12.0,Sandy
19,97.0,0.0,1011.0,0.321,7.0,Loam
23,72.0,0.0,1013.0,0.226,12.0,Sandy
27,58.0,0.0,1012.0,0.16399999999999998,6.0,Sandy
22,67.0,0.0,1012.0,0.21600000000000003,11.0,Sandy
23,85.0,0.2,1008.0,0.2666,13.0,Loam
27,46.0,0.0,1011.0,0.128,8.0,Sandy
24,79.0,0.0,1010.0,0.242,9.0,Sandy
20,88.0,0.0,1014.0,0.28900000000000003,5.0,Loam
24,68.0,0.1,1007.0,0.20980000000000001,20.0,Sandy
22,92.0,0.0,1012.0,0.29100000000000004,9.0,Loam
25,63.0,0.0,1007.0,0.189,20.0,Sandy
26,40.0,0.0,1016.0,0.11499999999999999,19.0,Sandy
28,53.0,0.0,1012.0,0.144,10.0,Sandy
20,64.0,0.0,1013.0,0.217,8.0,Sandy
20,95.0,0.0,1010.0,0.31,5.0,Loam
23,75.0,0.0,1007.0,0.235,23.0,Sandy
22,89.0,0.1,1008.0,0.28280000000000005,9.0,Loam
28,49.0,0.0,1010.0,0.13199999999999998,9.0,Sandy
24,49.0,0.0,1010.0,0.152,8.0,Sandy
22,38.0,0.0,1013.0,0.129,14.0,Sandy
22,86.0,0.0,1008.0,0.273,11.0,Loam
28,32.0,0.0,1010.0,0.081,17.0,Sandy
32,17.0,0.0,1011.0,0.016,14.0,Sandy
35,17.0,0.0,1011.0,0.0010000000000000009,5.0,Sandy
27,57.0,0.0,1009.0,0.16099999999999998,15.0,Sandy
21,78.0,0.0,1015.0,0.254,10.0,Loam
25,66.0,0.0,1007.0,0.198,30.0,Sandy
17,69.0,0.0,1010.0,0.247,7.0,Sandy
35,18.0,0.0,1008.0,0.003999999999999997,9.0,Sandy
24,51.0,0.0,1007.0,0.158,8.0,Sandy
19,76.0,0.0,1017.0,0.258,13.0,Loam
22,88.0,0.3,1011.0,0.28140000000000004,9.0,Loam
26,61.0,0.0,1013.0,0.178,6.0,Sandy
19,96.0,0.0,1012.0,0.318,7.0,Loam
26,35.0,0.0,1012.0,0.09999999999999999,9.0,Sandy
16,71.0,0.0,1013.0,0.258,1.0,Loam
20,93.0,0.0,1010.0,0.30400000000000005,6.0,Loam
22,46.0,0.0,1008.0,0.15300000000000002,10.0,Sandy
27,51.0,0.0,1006.0,0.143,23.0,Sandy
21,92.0,0.0,1010.0,0.29600000000000004,7.0,Loam
22,85.0,0.0,1009.0,0.27,16.0,Loam
19,92.0,0.0,1008.0,0.30600000000000005,15.0,Loam
21,76.0,0.0,1010.0,0.24799999999999997,6.0,Sandy
27,62.0,1.3,1008.0,0.18639999999999998,17.0,Sandy
29,41.0,0.0,1007.0,0.10299999999999998,9.0,Sandy
31,49.0,0.0,1009.0,0.11699999999999999,7.0,Sandy
29,54.0,0.0,1007.0,0.14200000000000002,13.0,Sandy
25,78.0,1.6,1009.0,0.2468,4.0,Sandy
20,90.0,0.0,1010.0,0.29500000000000004,12.0,Loam
24,75.0,0.0,1007.0,0.22999999999999998,21.0,Sandy
33,42.0,0.0,1007.0,0.086,13.0,Sandy
22,80.0,0.0,1012.0,0.255,10.0,Loam
23,82.0,0.0,1009.0,0.25599999999999995,14.0,Loam
16,99.0,0.0,1015.0,0.34199999999999997,10.0,Loam
29,55.0,0.0,1008.0,0.14500000000000002,10.0,Sandy
28,52.0,0.0,1007.0,0.141,30.0,Sandy
23,85.0,0.9,1009.0,0.2722,11.0,Loam
22,65.0,0.0,1012.0,0.21000000000000002,7.0,Sandy
20,92.0,0.0,1009.0,0.30100000000000005,18.0,Loam
20,85.0,0.0,1009.0,0.28,23.0,Loam
35,17.0,0.0,1006.0,0.0010000000000000009,10.0,Sandy
32,39.0,0.0,1011.0,0.08199999999999999,7.0,Sandy
22,45.0,0.0,1016.0,0.15000000000000002,7.0,Sandy
20,89.0,0.0,1010.0,0.29200000000000004,9.0,Loam
25,31.0,0.0,1012.0,0.093,17.0,Sandy
24,48.0,0.0,1013.0,0.149,13.0,Sandy
27,58.0,0.0,1011.0,0.16399999999999998,17.0,Sandy
26,57.0,0.0,1012.0,0.16599999999999998,12.0,Sandy
24,65.0,0.0,1007.0,0.2,7.0,Sandy
26,52.0,0.0,1014.0,0.151,8.0,Sandy
23,73.0,0.1,1011.0,0.2298,14.0,Sandy
27,37.0,0.0,1012.0,0.101,16.0,Sandy
26,33.0,0.0,1012.0,0.094,13.0,Sandy
15,95.0,0.0,1015.0,0.33499999999999996,12.0,Loam
26,61.0,0.3,1012.0,0.1804,6.0,Sandy
22,80.0,0.0,1011.0,0.255,14.0,Loam
21,87.0,0.0,1010.0,0.281,15.0,Loam
36,18.0,0.0,1006.0,0.0,11.0,Sandy
29,54.0,0.2,1005.0,0.1436,24.0,Sandy
28,37.0,0.0,1011.0,0.096,13.0,Sandy
29,25.0,0.0,1010.0,0.05499999999999999,14.0,Sandy
29,55.0,0.4,1004.0,0.14820000000000003,19.0,Sandy
16,95.0,0.0,1015.0,0.32999999999999996,5.0,Loam
22,82.0,0.6,1008.0,0.2658,17.0,Loam
23,26.0,0.0,1017.0,0.088,9.0,Sandy
24,45.0,0.0,1010.0,0.14,7.0,Sandy
28,44.0,0.0,1011.0,0.117,14.0,Sandy
26,69.0,0.0,1007.0,0.20199999999999999,10.0,Sandy
22,78.0,0.0,1010.0,0.249,23.0,Sandy
20,67.0,0.0,1017.0,0.226,13.0,Sandy
27,56.0,0.0,1008.0,0.158,20.0,Sandy
28,55.0,0.0,1009.0,0.15,13.0,Sandy
19,97.0,0.0,1013.0,0.321,9.0,Loam
21,57.0,0.0,1014.0,0.19099999999999998,6.0,Sandy
18,92.0,0.0,1014.0,0.31100000000000005,10.0,Loam
29,40.0,0.1,1010.0,0.10079999999999999,6.0,Sandy
26,69.0,1.1,1005.0,0.2108,24.0,Sandy
20,93.0,0.0,1007.0,0.30400000000000005,16.0,Loam
15,87.0,0.0,1014.0,0.311,9.0,Loam
21,92.0,0.0,1009.0,0.29600000000000004,15.0,Loam
23,84.0,0.0,1008.0,0.262,12.0,Loam
22,81.0,0.1,1011.0,0.2588,16.0,Loam
20,97.0,0.0,1015.0,0.316,5.0,Loam
26,55.0,0.0,1010.0,0.16,4.0,Sandy
26,63.0,0.8,1009.0,0.19039999999999999,14.0,Sandy
28,51.0,0.0,1006.0,0.13799999999999998,31.0,Sandy
23,78.0,2.6,1006.0,0.2648,33.0,Loam
22,81.0,0.0,1010.0,0.258,22.0,Loam
23,72.0,0.0,1013.0,0.226,7.0,Sandy
22,44.0,0.0,1016.0,0.14700000000000002,7.0,Sandy
20,92.0,0.0,1016.0,0.30100000000000005,15.0,Loam
20,95.0,0.3,1010.0,0.3124,5.0,Loam
26,31.0,0.0,1014.0,0.088,21.0,Sandy
29,28.0,0.0,1010.0,0.064,8.0,Sandy
26,68.0,0.2,1009.0,0.2006,24.0,Sandy
21,81.0,0.0,1006.0,0.263,27.0,Loam
21,79.0,0.0,1014.0,0.257,8.0,Loam
30,19.0,0.0,1010.0,0.031999999999999994,19.0,Sandy
33,29.0,0.0,1006.0,0.04699999999999999,6.0,Sandy
22,85.0,1.1,1012.0,0.2788,14.0,Loam
22,82.0,0.0,1011.0,0.26099999999999995,18.0,Loam
20,95.0,0.0,1008.0,0.31,12.0,Loam
28,37.0,0.0,1011.0,0.096,12.0,Sandy
18,73.0,0.0,1015.0,0.254,10.0,Loam
23,61.0,0.0,1010.0,0.193,8.0,Sandy
23,91.0,0.0,1008.0,0.28300000000000003,12.0,Loam
25,62.0,0.0,1008.0,0.186,24.0,Sandy
21,85.0,0.0,1007.0,0.275,18.0,Loam
19,67.0,0.0,1013.0,0.231,9.0,Sandy
19,100.0,0.0,1010.0,0.33,6.0,Loam
29,37.0,0.0,1014.0,0.091,10.0,Sandy
15,77.0,0.0,1015.0,0.28099999999999997,10.0,Loam
16,61.0,0.0,1016.0,0.22799999999999998,10.0,Sandy
19,95.0,0.0,1006.0,0.315,19.0,Loam
27,66.0,0.0,1012.0,0.188,14.0,Sandy
24,49.0,0.0,1007.0,0.152,8.0,Sandy
32,44.0,0.7,1008.0,0.1026,14.0,Sandy
23,81.0,0.0,1011.0,0.253,21.0,Loam
20,85.0,0.0,1008.0,0.28,16.0,Loam
23,53.0,0.0,1016.0,0.169,16.0,Sandy
18,98.0,0.0,1012.0,0.32899999999999996,6.0,Loam
31,43.0,0.0,1005.0,0.099,11.0,Sandy
32,28.0,0.0,1010.0,0.049,3.0,Sandy
23,74.0,0.0,1010.0,0.232,26.0,Sandy
24,77.0,1.5,1005.0,0.248,15.0,Sandy
26,69.0,0.0,1006.0,0.20199999999999999,18.0,Sandy
24,86.0,1.6,1009.0,0.2758,7.0,Loam
22,87.0,0.0,1008.0,0.276,13.0,Loam
23,71.0,0.0,1014.0,0.223,15.0,Sandy
28,54.0,0.2,1008.0,0.14859999999999998,14.0,Sandy
20,87.0,0.0,1007.0,0.28600000000000003,14.0,Loam
19,94.0,0.1,1007.0,0.3128,18.0,Loam
21,95.0,0.0,1010.0,0.305,8.0,Loam
31,44.0,0.0,1007.0,0.10200000000000001,18.0,Sandy
25,69.0,0.1,1011.0,0.20779999999999998,17.0,Sandy
19,90.0,0.0,1010.0,0.30000000000000004,6.0,Loam
28,48.0,0.0,1015.0,0.12899999999999998,15.0,Sandy
24,71.0,0.3,1007.0,0.2204,24.0,Sandy
19,72.0,0.0,1014.0,0.246,11.0,Sandy
22,80.0,0.0,1014.0,0.255,7.0,Loam
22,84.0,0.3,1009.0,0.26940000000000003,13.0,Loam
20,74.0,0.0,1016.0,0.247,9.0,Sandy
17,67.0,0.0,1017.0,0.24100000000000002,17.0,Sandy
20,96.0,0.0,1010.0,0.313,11.0,Loam
30,36.0,0.0,1011.0,0.08299999999999999,11.0,Sandy
22,84.0,0.0,1011.0,0.267,9.0,Loam
23,41.0,0.0,1011.0,0.13299999999999998,14.0,Sandy
33,12.0,0.0,1012.0,0.0,18.0,Sandy
17,76.0,0.0,1014.0,0.26799999999999996,8.0,Loam
29,56.0,0.0,1007.0,0.14800000000000002,12.0,Sandy
32,35.0,0.0,1008.0,0.06999999999999999,7.0,Sandy
29,23.0,0.0,1010.0,0.049,14.0,Sandy
23,67.0,0.0,1016.0,0.21100000000000002,16.0,Sandy
25,67.0,0.0,1008.0,0.201,18.0,Sandy
20,92.0,0.1,1014.0,0.30180000000000007,10.0,Loam
21,91.0,0.0,1011.0,0.29300000000000004,14.0,Loam
23,83.0,0.0,1008.0,0.25899999999999995,9.0,Loam
33,12.0,0.0,1011.0,0.0,23.0,Sandy
35,22.0,0.0,1009.0,0.016,9.0,Sandy
21,32.0,0.0,1011.0,0.116,13.0,Sandy
31,34.0,0.0,1009.0,0.07200000000000001,5.0,Sandy
20,73.0,0.0,1014.0,0.244,8.0,Sandy
29,45.0,0.0,1005.0,0.115,27.0,Sandy
29,45.0,0.0,1011.0,0.115,19.0,Sandy
28,52.0,0.0,1005.0,0.141,23.0,Sandy
21,90.0,0.0,1012.0,0.29000000000000004,11.0,Loam
21,93.0,0.1,1009.0,0.29980000000000007,9.0,Loam
21,74.0,0.0,1014.0,0.242,12.0,Sandy
20,95.0,0.0,1011.0,0.31,15.0,Loam
23,75.0,0.0,1010.0,0.235,8.0,Sandy
33,34.0,0.0,1010.0,0.062000000000000006,7.0,Sandy
30,37.0,0.0,1010.0,0.086,13.0,Sandy
29,44.0,0.1,1012.0,0.1128,14.0,Sandy
14,82.0,0.0,1013.0,0.301,6.0,Loam
23,79.0,0.0,1008.0,0.247,10.0,Sandy
22,82.0,0.0,1005.0,0.26099999999999995,28.0,Loam
29,18.0,0.0,1013.0,0.034,18.0,Sandy
23,77.0,0.0,1008.0,0.241,9.0,Sandy
20,74.0,0.0,1014.0,0.247,9.0,Sandy
29,58.0,0.0,1006.0,0.154,20.0,Sandy
23,74.0,0.0,1012.0,0.232,5.0,Sandy
18,97.0,0.0,1014.0,0.32599999999999996,9.0,Loam
16,94.0,0.0,1014.0,0.32699999999999996,12.0,Loam
25,67.0,0.0,1014.0,0.201,5.0,Sandy
30,41.0,0.0,1009.0,0.09799999999999998,7.0,Sandy
27,56.0,0.7,1003.0,0.1636,16.0,Sandy
29,52.0,0.0,1010.0,0.136,13.0,Sandy
24,66.0,0.0,1007.0,0.203,5.0,Sandy
31,35.0,0.0,1009.0,0.07499999999999998,9.0,Sandy
25,66.0,0.7,1010.0,0.2036,19.0,Sandy
23,64.0,0.0,1015.0,0.202,20.0,Sandy
17,96.0,0.0,1014.0,0.32799999999999996,10.0,Loam
19,98.0,0.0,1014.0,0.324,10.0,Loam
23,59.0,0.0,1013.0,0.187,7.0,Sandy
19,96.0,0.0,1009.0,0.318,7.0,Loam
27,24.0,0.0,1011.0,0.06199999999999999,15.0,Sandy
24,72.0,0.1,1005.0,0.2218,25.0,Sandy
22,74.0,0.0,1016.0,0.23700000000000002,17.0,Sandy
19,56.0,0.0,1018.0,0.198,14.0,Sandy
23,76.0,0.0,1015.0,0.238,10.0,Sandy
20,89.0,0.0,1009.0,0.29200000000000004,11.0,Loam
28,56.0,0.0,1007.0,0.153,24.0,Sandy
28,53.0,0.0,1006.0,0.144,21.0,Sandy
18,98.0,0.0,1010.0,0.32899999999999996,9.0,Loam
14,83.0,0.0,1014.0,0.304,6.0,Loam
25,79.0,1.3,1007.0,0.24739999999999998,9.0,Sandy
34,9.0,0.0,1012.0,0.0,18.0,Sandy
19,89.0,0.0,1014.0,0.29700000000000004,16.0,Loam
17,77.0,0.0,1015.0,0.27099999999999996,9.0,Loam
33,29.0,0.0,1010.0,0.04699999999999999,7.0,Sandy
23,78.0,0.0,1011.0,0.244,21.0,Sandy
27,53.0,0.0,1010.0,0.149,8.0,Sandy
18,78.0,0.0,1009.0,0.269,3.0,Loam
17,90.0,0.0,1014.0,0.31,13.0,Loam
34,20.0,0.0,1006.0,0.015,12.0,Sandy
16,87.0,0.0,1015.0,0.306,7.0,Loam
16,84.0,0.0,1011.0,0.297,11.0,Loam
20,93.0,0.0,1009.0,0.30400000000000005,11.0,Loam
18,50.0,0.0,1013.0,0.185,9.0,Sandy
15,94.0,0.0,1013.0,0.33199999999999996,13.0,Loam
28,58.0,0.1,1005.0,0.15979999999999997,22.0,Sandy
19,79.0,0.0,1017.0,0.267,12.0,Loam
23,79.0,0.0,1011.0,0.247,6.0,Sandy
23,88.0,4.4,1009.0,0.30920000000000003,19.0,Loam
25,63.0,0.0,1008.0,0.189,13.0,Sandy
23,72.0,0.0,1007.0,0.226,15.0,Sandy
22,82.0,0.0,1011.0,0.26099999999999995,19.0,Loam
13,81.0,0.0,1016.0,0.303,9.0,Loam
23,65.0,0.0,1014.0,0.20500000000000002,8.0,Sandy
28,52.0,0.1,1007.0,0.14179999999999998,34.0,Sandy
24,54.0,0.0,1014.0,0.167,9.0,Sandy
26,64.0,0.0,1008.0,0.187,15.0,Sandy
25,39.0,0.0,1012.0,0.11699999999999999,15.0,Sandy
26,33.0,0.0,1014.0,0.094,14.0,Sandy
33,28.0,0.0,1010.0,0.044000000000000004,14.0,Sandy
27,50.0,0.1,1013.0,0.14079999999999998,7.0,Sandy
24,55.0,0.0,1012.0,0.17,9.0,Sandy
27,61.0,0.0,1006.0,0.173,21.0,Sandy
22,84.0,0.0,1009.0,0.267,16.0,Loam
31,44.0,0.0,1006.0,0.10200000000000001,24.0,Sandy
27,58.0,0.0,1006.0,0.16399999999999998,11.0,Sandy
23,65.0,0.0,1016.0,0.20500000000000002,12.0,Sandy
26,58.0,0.0,1008.0,0.16899999999999998,36.0,Sandy
22,84.0,0.0,1009.0,0.267,14.0,Loam
29,49.0,0.1,1007.0,0.1278,32.0,Sandy
33,21.0,0.0,1009.0,0.023,10.0,Sandy
19,73.0,0.0,1015.0,0.249,8.0,Sandy
17,69.0,0.0,1013.0,0.247,9.0,Sandy
26,55.0,0.0,1013.0,0.16,12.0,Sandy
22,76.0,0.0,1006.0,0.243,27.0,Sandy
26,69.0,0.0,1008.0,0.20199999999999999,5.0,Sandy
20,62.0,0.0,1013.0,0.211,10.0,Sandy
15,89.0,0.0,1016.0,0.317,9.0,Loam
26,56.0,0.0,1012.0,0.163,13.0,Sandy
24,89.0,0.0,1009.0,0.272,3.0,Loam
26,62.0,0.8,1011.0,0.18739999999999998,19.0,Sandy
21,85.0,0.0,1010.0,0.275,16.0,Loam
32,20.0,0.0,1011.0,0.024999999999999994,11.0,Sandy
20,53.0,0.0,1013.0,0.184,6.0,Sandy
29,57.0,0.4,1007.0,0.1542,7.0,Sandy
28,54.0,0.0,1008.0,0.147,21.0,Sandy
17,93.0,0.0,1013.0,0.319,9.0,Loam
17,93.0,0.0,1014.0,0.319,8.0,Loam
29,53.0,0.0,1005.0,0.139,17.0,Sandy
30,45.0,0.0,1011.0,0.11000000000000001,6.0,Sandy
19,97.0,0.0,1011.0,0.321,9.0,Loam
23,70.0,0.0,1015.0,0.22,9.0,Sandy
24,62.0,0.8,1014.0,0.1974,6.0,Sandy
24,58.0,0.0,1013.0,0.179,11.0,Sandy
27,24.0,0.0,1012.0,0.06199999999999999,19.0,Sandy
19,71.0,0.0,1015.0,0.243,13.0,Sandy
27,50.0,0.0,1014.0,0.13999999999999999,15.0,Sandy
26,40.0,0.0,1009.0,0.11499999999999999,9.0,Sandy
23,78.0,0.0,1010.0,0.244,13.0,Sandy
29,48.0,0.0,1009.0,0.12399999999999999,13.0,Sandy
23,68.0,0.0,1015.0,0.21400000000000002,19.0,Sandy
27,64.0,0.0,1009.0,0.182,11.0,Sandy
19,90.0,0.0,1011.0,0.30000000000000004,8.0,Loam
23,76.0,0.0,1011.0,0.238,10.0,Sandy
22,86.0,0.0,1015.0,0.273,17.0,Loam
22,76.0,0.0,1009.0,0.243,19.0,Sandy
20,96.0,0.0,1013.0,0.313,16.0,Loam
27,54.0,0.0,1008.0,0.152,29.0,Sandy
32,36.0,0.0,1010.0,0.073,11.0,Sandy
28,55.0,0.0,1007.0,0.15,18.0,Sandy
24,81.0,0.0,1007.0,0.248,15.0,Sandy
21,79.0,0.0,1008.0,0.257,22.0,Loam
25,52.0,0.0,1012.0,0.156,12.0,Sandy
19,94.0,0.0,1009.0,0.312,14.0,Loam
31,33.0,0.0,1013.0,0.069,9.0,Sandy
27,55.0,0.0,1006.0,0.155,28.0,Sandy
24,72.0,0.0,1013.0,0.221,12.0,Sandy
28,35.0,0.0,1014.0,0.09,10.0,Sandy
23,81.0,0.0,1006.0,0.253,18.0,Loam
19,99.0,0.0,1013.0,0.327,5.0,Loam
21,83.0,0.0,1014.0,0.26899999999999996,7.0,Loam
23,79.0,0.8,1007.0,0.25339999999999996,16.0,Loam
24,76.0,0.0,1012.0,0.23299999999999998,10.0,Sandy
31,44.0,0.1,1006.0,0.1028,24.0,Sandy
20,73.0,0.0,1016.0,0.244,15.0,Sandy
30,41.0,0.0,1007.0,0.09799999999999998,17.0,Sandy
28,60.0,0.0,1010.0,0.16499999999999998,5.0,Sandy
34,23.0,0.0,1008.0,0.024000000000000007,13.0,Sandy
26,66.0,1.3,1010.0,0.2034,15.0,Sandy
26,66.0,0.2,1010.0,0.1946,17.0,Sandy
21,88.0,0.0,1007.0,0.28400000000000003,16.0,Loam
28,43.0,0.0,1011.0,0.114,10.0,Sandy
18,98.0,0.0,1014.0,0.32899999999999996,8.0,Loam
20,96.0,0.0,1010.0,0.313,10.0,Loam
23,75.0,0.0,1010.0,0.235,16.0,Sandy
18,79.0,0.0,1016.0,0.272,12.0,Loam
22,53.0,0.0,1013.0,0.17400000000000002,8.0,Sandy
20,98.0,1.3,1006.0,0.3294,11.0,Loam
15,91.0,0.0,1013.0,0.323,9.0,Loam
23,45.0,0.0,1017.0,0.14500000000000002,13.0,Sandy
27,55.0,0.4,1008.0,0.1582,6.0,Sandy
26,64.0,0.0,1011.0,0.187,7.0,Sandy
18,87.0,0.0,1016.0,0.29600000000000004,13.0,Loam
27,53.0,0.0,1010.0,0.149,7.0,Sandy
22,76.0,0.0,1009.0,0.243,13.0,Sandy
21,88.0,0.8,1011.0,0.29040000000000005,16.0,Loam
30,33.0,0.0,1009.0,0.07400000000000001,4.0,Sandy
30,44.0,0.0,1007.0,0.10700000000000001,15.0,Sandy
21,75.0,0.0,1015.0,0.24499999999999997,12.0,Sandy
25,73.0,2.1,1009.0,0.2358,10.0,Sandy
23,72.0,0.0,1012.0,0.226,11.0,Sandy
17,68.0,0.0,1014.0,0.24400000000000002,11.0,Sandy
19,62.0,0.0,1011.0,0.216,15.0,Sandy
25,64.0,0.0,1007.0,0.192,21.0,Sandy
33,29.0,0.0,1007.0,0.04699999999999999,17.0,Sandy
26,27.0,0.0,1013.0,0.076,14.0,Sandy
20,79.0,0.0,1014.0,0.262,11.0,Loam
28,53.0,0.0,1008.0,0.144,21.0,Sandy
22,46.0,0.0,1013.0,0.15300000000000002,9.0,Sandy
24,79.0,0.0,1008.0,0.242,10.0,Sandy
24,62.0,0.0,1015.0,0.191,13.0,Sandy
24,68.0,0.0,1009.0,0.20900000000000002,9.0,Sandy
25,62.0,0.0,1004.0,0.186,31.0,Sandy
39,18.0,0.0,1008.0,0.0,2.0,Sandy
